,score_train,score_test,model
A,0.007549222698673752,-0.0065246537629106705,"(1, 0, 0)"
AAL,0.016294534454932674,0.0013460940217242534,"(2, 0, 2)"
AAPL,0.004122109147821962,-0.012831913461238909,"(0, 0, 1)"
ABT,0.00475924872985134,-0.008647007318740352,"(1, 0, 0)"
ACGL,0.05338976247559424,-0.03447410519835703,"(2, 0, 3)"
ACN,0.01040158935711566,-0.008020666188062853,"(1, 0, 0)"
ADBE,0.013933521177812547,-0.0426026250315521,"(1, 0, 0)"
ADI,0.026676699680030946,-0.020378866729672263,"(1, 0, 0)"
ADM,0.004949572323310614,-0.00775905120084075,"(1, 0, 1)"
ADP,0.027939608586911913,-0.000533355234203059,"(2, 0, 2)"
ADSK,0.001767435023238284,0.0006416725151474623,"(1, 0, 0)"
AEE,0.021530778305660192,-0.03515618746909133,"(3, 0, 2)"
AEP,-1.5511142748003692e-07,-0.004903268890511514,"(0, 0, 0)"
AES,0.02069430228547342,-0.030223695534475903,"(0, 0, 3)"
AFL,0.005798582870394253,-0.0033159027940341534,"(2, 0, 0)"
AIG,-6.216319592411423e-08,-8.402902240689514e-08,"(0, 0, 0)"
AIZ,0.014611427936820465,-0.011057714679051589,"(2, 0, 3)"
AJG,0.04045931796685287,-0.02433933868503746,"(3, 0, 2)"
AKAM,-5.997765128995525e-08,-0.004275887026776282,"(0, 0, 0)"
ALB,-4.248729768008275e-08,-0.0044098790570688,"(0, 0, 0)"
ALGN,-3.159352690573769e-08,-0.00017968669517332003,"(0, 0, 0)"
ALL,0.004924899690457396,-0.0018329529877247897,"(1, 0, 0)"
AMAT,0.016268229444287075,-0.02050687747042801,"(0, 0, 2)"
AMD,0.005860867489658972,-0.00476740000699194,"(0, 0, 3)"
AME,0.022058334935005086,0.00953591381818375,"(2, 0, 2)"
AMGN,0.005999975079842623,-0.006592893590446236,"(1, 0, 0)"
AMP,0.02451362051753525,-0.015647871669965063,"(2, 0, 2)"
AMT,0.006959836868112856,-0.005462378071185547,"(2, 0, 0)"
AMZN,-5.913268164015051e-08,-0.006145744413578624,"(0, 0, 0)"
ANSS,0.010197891211799592,-0.025020554061990108,"(3, 0, 0)"
AON,0.00336713203658201,-0.011162170795978144,"(2, 0, 0)"
AOS,-8.992639566329785e-08,-0.003113956045835531,"(0, 0, 0)"
APA,0.003567276071895442,-0.0077496947606245925,"(1, 0, 0)"
APD,0.01205447941989557,-0.03543480013085687,"(2, 0, 0)"
APH,0.0042213616729736,-0.019047273298415934,"(2, 0, 0)"
APTV,0.006886973293476983,-0.00596162731874772,"(0, 0, 3)"
ARE,0.025652444417559095,-0.042830999576420226,"(2, 0, 3)"
ATO,0.014047492855970956,-0.019906117513845523,"(3, 0, 1)"
AVB,0.02318601207459914,-0.03751482929691874,"(3, 0, 3)"
AVGO,0.011606365405730235,-0.018387937668119747,"(3, 0, 0)"
AVY,0.0010969452934003199,0.0017734249306960992,"(1, 0, 1)"
AWK,-1.2929342707579394e-07,-0.006990673372923473,"(0, 0, 0)"
AXON,-2.497145401569867e-08,-0.000285428185558656,"(0, 0, 0)"
AXP,0.0025927533088201393,-0.0035821200747621074,"(1, 0, 0)"
AZO,0.011558015114524478,-0.005200463493349572,"(0, 0, 3)"
BA,0.015317966166283559,0.008308134031786873,"(1, 0, 3)"
BAC,0.005522814340403914,-0.01567256263231842,"(0, 0, 2)"
BALL,-9.30875623250671e-08,-0.00013858274283773397,"(0, 0, 0)"
BAX,0.005969136659067842,-0.003244996260721056,"(0, 0, 1)"
BBWI,-2.677482391355568e-08,-2.46707480782149e-05,"(0, 0, 0)"
BBY,-3.9405472884723736e-08,-0.0032947259024098674,"(0, 0, 0)"
BDX,0.0012946777173492574,-0.006184557229230281,"(1, 0, 0)"
BEN,-6.589955425795324e-08,-0.0013032223429436662,"(0, 0, 0)"
BG,0.006918964733198307,0.025149263439370295,"(1, 0, 0)"
BIIB,0.01107087848479471,-0.025044786707627553,"(3, 0, 3)"
BIO,0.0013631948976813302,-0.005257357131187801,"(0, 0, 1)"
BK,0.009268934647150173,-0.0017039362643878064,"(2, 0, 0)"
BKNG,-6.171088284823156e-08,-0.012061154972625499,"(0, 0, 0)"
BKR,-4.0662922140555224e-08,-0.000613552512163773,"(0, 0, 0)"
BLDR,0.001774286535504821,-0.015959241947644864,"(1, 0, 2)"
BLK,0.0030168817804520076,-0.014650563642343517,"(1, 0, 0)"
BMY,-1.0622705470808569e-07,-0.01912550976364069,"(0, 0, 0)"
BR,0.004816964140946345,-0.016142871256679348,"(1, 0, 0)"
BRO,0.014179861903916735,0.013476944467060381,"(2, 0, 1)"
BSX,0.00440651263376679,-0.0052051484055744,"(1, 0, 0)"
BWA,-5.702796324058568e-08,-1.9200943990327346e-07,"(0, 0, 0)"
BX,0.004709846092247227,-0.010730210630535364,"(1, 0, 3)"
BXP,0.010705090187024813,-0.036655378952613615,"(2, 0, 2)"
C,0.0060143149095925885,0.013198816641362132,"(2, 0, 0)"
CAG,0.002787851416446663,-0.006619983413007624,"(0, 0, 3)"
CAH,0.008447390420831868,-0.005295564438281497,"(0, 0, 2)"
CAT,-7.773707499936222e-08,-0.0005649099015938575,"(0, 0, 0)"
CB,0.02294867480457874,-0.023828227266640578,"(2, 0, 2)"
CBOE,0.015356282538626975,-0.014417713130357779,"(3, 0, 2)"
CBRE,-6.210114666949096e-08,-0.00010855159831679728,"(0, 0, 0)"
CCI,0.019493352788902518,-0.0025113795916114068,"(2, 0, 3)"
CCL,-2.3255342540551283e-08,-0.01467994137311357,"(0, 0, 0)"
CDNS,0.008074078517872785,-0.015499390800842727,"(2, 0, 0)"
CE,0.0012273701022352812,-0.010230126353385938,"(1, 0, 0)"
CF,-3.940138748603772e-08,-0.0012736332735707734,"(0, 0, 0)"
CHD,0.0030450871713136873,0.01188051538828283,"(1, 0, 0)"
CHRW,0.0021418079587682826,0.006057636587440518,"(1, 0, 1)"
CHTR,-0.0018508743908565162,-0.012655640428434145,"(2, 1, 1)"
CI,0.0040680494749260054,-0.00623842410311104,"(2, 0, 0)"
CINF,0.014074560059818997,0.02275343134291663,"(2, 0, 3)"
CL,0.021746019375164183,-0.008839393455745803,"(3, 0, 0)"
CLX,0.010852093025036313,-0.019015608925889937,"(1, 0, 3)"
CMA,0.015670181179561093,0.003316463425189653,"(3, 0, 3)"
CMCSA,0.012891171375247201,-0.03510520528445893,"(1, 0, 0)"
CME,0.041793429372705804,-0.036586953376883224,"(2, 0, 2)"
CMG,0.0031144802087147427,-0.009926872072346216,"(1, 0, 3)"
CMI,-8.912673732375254e-08,-0.0005923404009680056,"(0, 0, 0)"
CMS,0.002550791001704522,-0.005856265242050629,"(1, 0, 0)"
CNC,0.0017867134427551612,-0.002322945809970056,"(1, 0, 0)"
CNP,0.03876831448998974,-0.037352761773569165,"(2, 0, 3)"
COF,-5.340633868478051e-08,-0.0033634630552528133,"(0, 0, 0)"
COO,0.008627124989931234,-0.029845769797449018,"(0, 0, 3)"
COP,0.0035979617016270726,-0.004731120145469836,"(2, 0, 0)"
COR,0.010033038086906254,-0.02845533141972889,"(3, 0, 0)"
COST,0.0013748694989889065,-0.0022318955991182943,"(1, 0, 0)"
CPAY,-6.371300376173394e-08,-0.00484122239936613,"(0, 0, 0)"
CPB,-1.1697165391844067e-07,-0.008898721293487233,"(0, 0, 0)"
CPRT,-8.875432166988162e-08,-0.005679910090381934,"(0, 0, 0)"
CPT,0.024490212975300407,-0.027336667081889976,"(2, 0, 2)"
CRL,0.00869065902300481,-0.007441421063209219,"(3, 0, 2)"
CRM,0.003795758633342028,-0.02345720629933412,"(1, 0, 2)"
CSCO,0.01363915305906549,-0.02105663655961809,"(2, 0, 2)"
CSGP,-6.300873156561693e-08,-0.0005768027894721417,"(0, 0, 0)"
CSX,0.015195781662999952,-0.02173527331448044,"(3, 0, 2)"
CTAS,0.011010263793799213,-0.004967565279101693,"(2, 0, 0)"
CTRA,0.002388829990478847,0.0015731637494373896,"(0, 0, 1)"
CTSH,0.009654582059307693,-0.011524838100786194,"(2, 0, 0)"
CVS,0.007291022042032469,0.007838944841476625,"(2, 0, 2)"
CVX,0.015815809719434082,-0.03337386582088531,"(0, 0, 3)"
D,0.008428251822024668,-0.0355465307525622,"(1, 0, 0)"
DAL,0.005817460462925639,-0.007241862219640627,"(2, 0, 3)"
DD,-6.796293217092853e-08,-0.00019315845697831513,"(0, 0, 0)"
DE,0.006300721305286139,-0.01496911315508953,"(2, 0, 0)"
DECK,-3.772022161285804e-08,-0.0026578507770096405,"(0, 0, 0)"
DFS,0.01404529954968814,-0.01494567607612729,"(0, 0, 3)"
DG,0.005111957132805545,-0.04680401643466214,"(2, 0, 2)"
DGX,0.005130799962849597,-0.00596293973996298,"(0, 0, 2)"
DHI,-4.9147469427524015e-08,-0.006619960381476497,"(0, 0, 0)"
DHR,0.00840526393301011,-0.015084202216498976,"(3, 0, 0)"
DIS,0.00442380250830976,-0.009415424526166616,"(1, 0, 0)"
DLR,0.006589775760144856,-0.011476614722283562,"(2, 0, 1)"
DLTR,0.0022139449082861917,0.0026229210458903474,"(1, 0, 0)"
DOC,-7.883613561965319e-08,-0.0014750894942738846,"(0, 0, 0)"
DOV,0.00792161321610152,-0.005652772610302836,"(2, 0, 3)"
DPZ,0.009156846900946869,-0.0050828434639274,"(2, 0, 2)"
DRI,-5.1415062873871875e-08,-6.98469691040593e-06,"(0, 0, 0)"
DTE,0.02882285997210232,-0.03526417489366529,"(1, 0, 3)"
DUK,0.02005540029231534,-0.026209736846916964,"(2, 0, 3)"
DVA,0.002577356850416934,-0.009319913020146009,"(1, 0, 0)"
DVN,-2.4197608361475886e-08,-0.00450712766269068,"(0, 0, 0)"
DXCM,-2.7355376186477542e-08,-0.0020741559318824265,"(0, 0, 0)"
EA,-0.00036898681094466035,-0.014543917299713716,"(2, 1, 1)"
EBAY,-7.314274452774328e-08,-1.9844201393226513e-08,"(0, 0, 0)"
ECL,0.005948901055875533,-0.01800751835270109,"(1, 0, 0)"
ED,0.0015400291004061817,-0.006830343492900903,"(1, 0, 0)"
EFX,0.0020148034028235617,0.00286753977845311,"(1, 0, 0)"
EG,0.013684136748752018,0.028223175619155216,"(3, 0, 0)"
EIX,0.00825860986899385,-0.004961026746772568,"(1, 0, 2)"
EL,0.0067714606312142545,0.0032078339143174484,"(0, 0, 1)"
ELV,0.013599443134787559,-0.033020141329536346,"(0, 0, 3)"
EMN,-7.147889946601538e-08,-0.00040570187401800517,"(0, 0, 0)"
EMR,0.016570923702722395,-0.05750335870458745,"(1, 0, 2)"
EOG,-3.905192902387e-08,-0.001114755802752443,"(0, 0, 0)"
EQIX,0.003422035502749887,0.0057894535812569314,"(1, 0, 1)"
EQR,0.007305401619364882,-0.02050213028975234,"(2, 0, 2)"
EQT,-2.754940253701932e-08,-0.00028346003622226057,"(0, 0, 0)"
ES,0.015135894073144973,-0.020738825160683927,"(3, 0, 2)"
ESS,0.013930398243744757,-0.022575863256734552,"(3, 0, 3)"
ETN,0.003671361579262289,-0.006220926440376973,"(0, 0, 1)"
ETR,0.03529361036102108,-0.03304711833384055,"(2, 0, 3)"
EVRG,0.004258331647666869,-0.008093540898631124,"(1, 0, 0)"
EW,-6.077382219693561e-08,-0.0011507316647676458,"(0, 0, 0)"
EXC,0.04039390568252399,-0.06536812183192264,"(2, 0, 3)"
EXPD,0.0013937631120383154,-0.008808815409965032,"(1, 0, 0)"
EXPE,-3.6374442569098164e-08,-0.0058438140841077235,"(0, 0, 0)"
EXR,-1.041203046003858e-07,-1.7633286374607593e-05,"(0, 0, 0)"
F,-5.623220067363377e-08,-0.0005046686312792925,"(0, 0, 0)"
FAST,0.006222614752542932,-0.004436604503883723,"(2, 0, 1)"
FCX,-2.187347591942057e-08,-1.0716021645817975e-05,"(0, 0, 0)"
FDS,0.022625643038586052,-0.028354731953599277,"(0, 0, 2)"
FDX,0.0042277576599760724,-0.013721364203850062,"(2, 0, 2)"
FE,0.017545299725680197,-0.028442873190237306,"(2, 0, 2)"
FFIV,-6.915772532423148e-08,-0.002281368729077027,"(0, 0, 0)"
FI,0.026601312887106765,-0.014709749644991277,"(3, 0, 3)"
FICO,0.01462962197051565,-0.0058810500530970256,"(1, 0, 3)"
FIS,0.02944814748164104,-0.02416450250222324,"(3, 1, 3)"
FITB,0.014091327311230084,-0.007941816511733535,"(1, 0, 3)"
FMC,0.004831297716404448,-0.034648849386299974,"(2, 0, 0)"
FRT,0.017589251686047858,-0.03305238273804667,"(3, 0, 3)"
FSLR,-2.5222196331498026e-08,-2.2857713055657314e-08,"(0, 0, 0)"
FTNT,0.002234599433527551,0.004671300469942796,"(1, 0, 0)"
GD,-1.2723508135970008e-07,-0.0009387143387671326,"(0, 0, 0)"
GE,-5.6164740858122286e-08,-0.03238181857703326,"(0, 0, 0)"
GEN,0.001430624243172085,-0.0030027155046525866,"(0, 0, 1)"
GILD,0.0032425927094394957,-0.0033937177364793403,"(0, 0, 2)"
GIS,-1.5231742245269686e-07,-0.013412545961802635,"(0, 0, 0)"
GL,0.011688456973913852,0.01573958262991826,"(2, 0, 0)"
GLW,0.005467164964112703,-0.013882330639146012,"(2, 0, 0)"
GM,-5.413273340693081e-08,-4.330763668858317e-05,"(0, 0, 0)"
GNRC,-3.754448463233473e-08,-0.0005470072201716469,"(0, 0, 0)"
GOOG,0.0036976087176482375,-0.01340988947228805,"(0, 0, 1)"
GOOGL,0.003924429709025179,-0.013990321895286373,"(0, 0, 1)"
GPC,-1.0303206243733598e-07,-0.007024310637254949,"(0, 0, 0)"
GPN,0.0017238202352628518,0.004407465863321747,"(1, 0, 0)"
GRMN,0.002334382630309828,-0.011038461334222927,"(1, 0, 0)"
GS,0.008929219995702509,-0.013319807000938821,"(0, 0, 2)"
GWW,0.0016698000530617207,-0.005292580117633783,"(2, 0, 1)"
HAL,0.003687641236179595,-0.01080689890637987,"(0, 0, 2)"
HAS,-6.683194553325222e-08,-0.001135103348498534,"(0, 0, 0)"
HBAN,0.013429428670188037,-0.015467763623524089,"(2, 0, 3)"
HCA,-5.775987510503455e-08,-0.0010512617719964368,"(0, 0, 0)"
HD,0.015124514516252185,-0.027123057932391337,"(1, 0, 3)"
HES,-3.327514996875891e-08,-0.0006142149929388996,"(0, 0, 0)"
HIG,0.022486249422534965,0.012643775146145009,"(0, 0, 3)"
HII,-8.543207896671845e-08,-0.00023901465496511953,"(0, 0, 0)"
HOLX,-8.245035276743806e-08,-0.003860782691798237,"(0, 0, 0)"
HON,0.0021360676753949814,-0.006553784956231823,"(1, 0, 0)"
HPQ,0.0069194434119291826,-0.019022374169820333,"(0, 0, 2)"
HRL,-1.4128814140867973e-07,-0.016746517589190102,"(0, 0, 0)"
HSIC,-1.0258911542493365e-07,-0.0017270154005415428,"(0, 0, 0)"
HST,-5.678015724264185e-08,-0.0019307423890744246,"(0, 0, 0)"
HSY,0.02411947236765022,-0.052646278583662554,"(3, 0, 0)"
HUBB,0.002366588134781633,-0.001678195964420759,"(1, 0, 0)"
HUM,-7.10877481324701e-08,-0.0053407548267627725,"(0, 0, 0)"
IBM,0.006453889115031863,-0.007017080346749083,"(1, 0, 2)"
ICE,0.012833976673646164,-0.028771687368044807,"(0, 0, 2)"
IDXX,-7.214535791000287e-08,-0.00039128593514559107,"(0, 0, 0)"
IEX,0.013902838922953742,0.017955806959137455,"(3, 0, 2)"
IFF,0.0016481761895648095,-0.004152719972641439,"(1, 0, 0)"
ILMN,-3.920468927276488e-08,-0.00395387914037304,"(0, 0, 0)"
INCY,-0.001177094647120791,-0.0009393892504123702,"(2, 1, 2)"
INTC,0.03274663973862246,-0.0795545045353796,"(3, 0, 2)"
INTU,0.008526646118075631,-0.011108325126990337,"(1, 0, 0)"
IP,0.008105582255650834,-0.0027749807278034666,"(2, 0, 0)"
IPG,0.0008958839084997061,-0.0026993068576686152,"(1, 0, 0)"
IRM,-7.517450129057579e-08,-0.005088537578338048,"(0, 0, 0)"
ISRG,0.0025532129358163402,-0.004768988701177479,"(2, 0, 0)"
IT,0.004740910737198734,-0.011906509292160417,"(2, 0, 2)"
